@RELATION all

@ATTRIBUTE player1 {"Anti-Mage","Axe","Bane","Bloodseeker","CrystalMaiden","DrowRanger","Earthshaker","Juggernaut","Mirana","ShadowFiend","Morphling","PhantomLancer","Puck","Pudge","Razor","SandKing","StormSpirit","Sven","Tiny","VengefulSpirit","Windranger","Zeus","Kunkka","Lina","Lich","Lion","ShadowShaman","Slardar","Tidehunter","WitchDoctor","Riki","Enigma","Tinker","Sniper","Necrophos","Warlock","Beastmaster","QueenofPain","Venomancer","FacelessVoid","WraithKing","DeathProphet","PhantomAssassin","Pugna","TemplarAssassin","Viper","Luna","DragonKnight","Dazzle","Clockwerk","Leshrac","Nature'sProphet","Lifestealer","DarkSeer","Clinkz","Omniknight","Enchantress","Huskar","NightStalker","Broodmother","BountyHunter","Weaver","Jakiro","Batrider","Chen","Spectre","Doom","AncientApparition","Ursa","SpiritBreaker","Gyrocopter","Alchemist","Invoker","Silencer","OutworldDevourer","Lycan","Brewmaster","ShadowDemon","LoneDruid","ChaosKnight","Meepo","TreantProtector","OgreMagi","Undying","Rubick","Disruptor","NyxAssassin","NagaSiren","KeeperoftheLight","Io","Visage","Slark","Medusa","TrollWarlord","CentaurWarrunner","Magnus","Timbersaw","Bristleback","Tusk","SkywrathMage","Abaddon","ElderTitan","LegionCommander","EmberSpirit","EarthSpirit","AbyssalUnderlord","Terrorblade","Phoenix","Techies","Oracle","WinterWyvern","ArcWarden",undefined}
@ATTRIBUTE player2 {"Anti-Mage","Axe","Bane","Bloodseeker","CrystalMaiden","DrowRanger","Earthshaker","Juggernaut","Mirana","ShadowFiend","Morphling","PhantomLancer","Puck","Pudge","Razor","SandKing","StormSpirit","Sven","Tiny","VengefulSpirit","Windranger","Zeus","Kunkka","Lina","Lich","Lion","ShadowShaman","Slardar","Tidehunter","WitchDoctor","Riki","Enigma","Tinker","Sniper","Necrophos","Warlock","Beastmaster","QueenofPain","Venomancer","FacelessVoid","WraithKing","DeathProphet","PhantomAssassin","Pugna","TemplarAssassin","Viper","Luna","DragonKnight","Dazzle","Clockwerk","Leshrac","Nature'sProphet","Lifestealer","DarkSeer","Clinkz","Omniknight","Enchantress","Huskar","NightStalker","Broodmother","BountyHunter","Weaver","Jakiro","Batrider","Chen","Spectre","Doom","AncientApparition","Ursa","SpiritBreaker","Gyrocopter","Alchemist","Invoker","Silencer","OutworldDevourer","Lycan","Brewmaster","ShadowDemon","LoneDruid","ChaosKnight","Meepo","TreantProtector","OgreMagi","Undying","Rubick","Disruptor","NyxAssassin","NagaSiren","KeeperoftheLight","Io","Visage","Slark","Medusa","TrollWarlord","CentaurWarrunner","Magnus","Timbersaw","Bristleback","Tusk","SkywrathMage","Abaddon","ElderTitan","LegionCommander","EmberSpirit","EarthSpirit","AbyssalUnderlord","Terrorblade","Phoenix","Techies","Oracle","WinterWyvern","ArcWarden",undefined}
@ATTRIBUTE player3 {"Anti-Mage","Axe","Bane","Bloodseeker","CrystalMaiden","DrowRanger","Earthshaker","Juggernaut","Mirana","ShadowFiend","Morphling","PhantomLancer","Puck","Pudge","Razor","SandKing","StormSpirit","Sven","Tiny","VengefulSpirit","Windranger","Zeus","Kunkka","Lina","Lich","Lion","ShadowShaman","Slardar","Tidehunter","WitchDoctor","Riki","Enigma","Tinker","Sniper","Necrophos","Warlock","Beastmaster","QueenofPain","Venomancer","FacelessVoid","WraithKing","DeathProphet","PhantomAssassin","Pugna","TemplarAssassin","Viper","Luna","DragonKnight","Dazzle","Clockwerk","Leshrac","Nature'sProphet","Lifestealer","DarkSeer","Clinkz","Omniknight","Enchantress","Huskar","NightStalker","Broodmother","BountyHunter","Weaver","Jakiro","Batrider","Chen","Spectre","Doom","AncientApparition","Ursa","SpiritBreaker","Gyrocopter","Alchemist","Invoker","Silencer","OutworldDevourer","Lycan","Brewmaster","ShadowDemon","LoneDruid","ChaosKnight","Meepo","TreantProtector","OgreMagi","Undying","Rubick","Disruptor","NyxAssassin","NagaSiren","KeeperoftheLight","Io","Visage","Slark","Medusa","TrollWarlord","CentaurWarrunner","Magnus","Timbersaw","Bristleback","Tusk","SkywrathMage","Abaddon","ElderTitan","LegionCommander","EmberSpirit","EarthSpirit","AbyssalUnderlord","Terrorblade","Phoenix","Techies","Oracle","WinterWyvern","ArcWarden",undefined}
@ATTRIBUTE player4 {"Anti-Mage","Axe","Bane","Bloodseeker","CrystalMaiden","DrowRanger","Earthshaker","Juggernaut","Mirana","ShadowFiend","Morphling","PhantomLancer","Puck","Pudge","Razor","SandKing","StormSpirit","Sven","Tiny","VengefulSpirit","Windranger","Zeus","Kunkka","Lina","Lich","Lion","ShadowShaman","Slardar","Tidehunter","WitchDoctor","Riki","Enigma","Tinker","Sniper","Necrophos","Warlock","Beastmaster","QueenofPain","Venomancer","FacelessVoid","WraithKing","DeathProphet","PhantomAssassin","Pugna","TemplarAssassin","Viper","Luna","DragonKnight","Dazzle","Clockwerk","Leshrac","Nature'sProphet","Lifestealer","DarkSeer","Clinkz","Omniknight","Enchantress","Huskar","NightStalker","Broodmother","BountyHunter","Weaver","Jakiro","Batrider","Chen","Spectre","Doom","AncientApparition","Ursa","SpiritBreaker","Gyrocopter","Alchemist","Invoker","Silencer","OutworldDevourer","Lycan","Brewmaster","ShadowDemon","LoneDruid","ChaosKnight","Meepo","TreantProtector","OgreMagi","Undying","Rubick","Disruptor","NyxAssassin","NagaSiren","KeeperoftheLight","Io","Visage","Slark","Medusa","TrollWarlord","CentaurWarrunner","Magnus","Timbersaw","Bristleback","Tusk","SkywrathMage","Abaddon","ElderTitan","LegionCommander","EmberSpirit","EarthSpirit","AbyssalUnderlord","Terrorblade","Phoenix","Techies","Oracle","WinterWyvern","ArcWarden",undefined}
@ATTRIBUTE player5 {"Anti-Mage","Axe","Bane","Bloodseeker","CrystalMaiden","DrowRanger","Earthshaker","Juggernaut","Mirana","ShadowFiend","Morphling","PhantomLancer","Puck","Pudge","Razor","SandKing","StormSpirit","Sven","Tiny","VengefulSpirit","Windranger","Zeus","Kunkka","Lina","Lich","Lion","ShadowShaman","Slardar","Tidehunter","WitchDoctor","Riki","Enigma","Tinker","Sniper","Necrophos","Warlock","Beastmaster","QueenofPain","Venomancer","FacelessVoid","WraithKing","DeathProphet","PhantomAssassin","Pugna","TemplarAssassin","Viper","Luna","DragonKnight","Dazzle","Clockwerk","Leshrac","Nature'sProphet","Lifestealer","DarkSeer","Clinkz","Omniknight","Enchantress","Huskar","NightStalker","Broodmother","BountyHunter","Weaver","Jakiro","Batrider","Chen","Spectre","Doom","AncientApparition","Ursa","SpiritBreaker","Gyrocopter","Alchemist","Invoker","Silencer","OutworldDevourer","Lycan","Brewmaster","ShadowDemon","LoneDruid","ChaosKnight","Meepo","TreantProtector","OgreMagi","Undying","Rubick","Disruptor","NyxAssassin","NagaSiren","KeeperoftheLight","Io","Visage","Slark","Medusa","TrollWarlord","CentaurWarrunner","Magnus","Timbersaw","Bristleback","Tusk","SkywrathMage","Abaddon","ElderTitan","LegionCommander","EmberSpirit","EarthSpirit","AbyssalUnderlord","Terrorblade","Phoenix","Techies","Oracle","WinterWyvern","ArcWarden",undefined}
@ATTRIBUTE kills NUMERIC
@ATTRIBUTE duration NUMERIC
@ATTRIBUTE class {"win","lose"}

@DATA
"Anti-Mage","Bloodseeker","PhantomAssassin","Pudge","Medusa",27,1620,"win"
"ChaosKnight","DrowRanger","Mirana","Clinkz","LegionCommander",-27,1620,"lose"
"Sven","CrystalMaiden","Lifestealer","Bristleback","Pudge",-32,2445,"lose"
"Riki","Ursa","WraithKing","Sniper","Slardar",32,2445,"win"
"Anti-Mage","Invoker","Rubick","Pudge","PhantomAssassin",-11,2653,"lose"
"Juggernaut","Mirana","Morphling","DrowRanger","Slark",11,2653,"win"
"Tinker","Warlock","Sniper","ChaosKnight","Tiny",34,1292,"win"
"Huskar","EmberSpirit","EarthSpirit","Juggernaut","Phoenix",-34,1292,"lose"
"Invoker","Tusk","Spectre","Sven","Nature'sProphet",-25,2389,"lose"
"Timbersaw","EarthSpirit","Riki","Slark","Pudge",25,2389,"win"
"DrowRanger","FacelessVoid","Visage","ShadowShaman","EmberSpirit",1,2804,"win"
"NyxAssassin","Morphling","Clinkz","WraithKing","PhantomAssassin",-1,2804,"lose"
"LegionCommander","Sniper","SkywrathMage","Kunkka","Omniknight",-23,2343,"lose"
"WraithKing","Riki","PhantomAssassin","Invoker","Zeus",23,2343,"win"
"Clockwerk","BountyHunter","FacelessVoid","Sniper","LegionCommander",40,1624,"win"
"Bloodseeker","SandKing","Razor","ChaosKnight","Tidehunter",-40,1624,"lose"
"Kunkka","Warlock","Earthshaker","Necrophos","DarkSeer",1,2792,"lose"
"Disruptor","ShadowFiend","NagaSiren","PhantomAssassin","Sven",-1,2792,"win"
"Sniper","Rubick","Pudge","PhantomAssassin","Windranger",26,1753,"win"
"Earthshaker","PhantomAssassin","Silencer","TemplarAssassin","Axe",29,2081,"win"
"Mirana","StormSpirit","Slark","Batrider","Axe",-1,2843,"win"
"Venomancer","Windranger","Tusk","Doom","LegionCommander",1,2843,"lose"
"Jakiro","PhantomAssassin","WraithKing","Timbersaw","CrystalMaiden",-12,3094,"lose"
"Pudge","VengefulSpirit","Silencer","Spectre","Magnus",12,3094,"win"
"Bristleback","LegionCommander","Riki","Alchemist","Invoker",18,3818,"lose"
"PhantomAssassin","NagaSiren","Kunkka","Sniper","Broodmother",-18,3818,"win"
"SandKing","BountyHunter","Omniknight","ShadowFiend","DrowRanger",-2,3322,"lose"
"Mirana","LegionCommander","Juggernaut","Invoker","Sniper",2,3322,"win"
"Luna","OgreMagi","DrowRanger","Earthshaker","Necrophos",18,2020,"win"
"Bloodseeker","CrystalMaiden","Tidehunter","Invoker","Anti-Mage",-18,2020,"lose"
"Tiny","Oracle","Warlock","Omniknight","PhantomAssassin",-16,2451,"lose"
"Weaver","SkywrathMage","Alchemist","Techies","TrollWarlord",16,2451,"win"
"Huskar","PhantomAssassin","Juggernaut","LegionCommander","Sniper",-31,2736,"lose"
"ShadowFiend","TreantProtector","StormSpirit","Juggernaut","Enigma",-20,2546,"lose"
"Mirana","Tidehunter","Kunkka","Rubick","Morphling",20,2546,"win"
"Lion","Undying","Puck","Mirana","Sven",-26,2037,"lose"
"PhantomAssassin","ChaosKnight","QueenofPain","Omniknight","WitchDoctor",26,2037,"win"
"WraithKing","Silencer","Slardar","Phoenix","Juggernaut",6,2139,"win"
"FacelessVoid","TrollWarlord","OgreMagi","Morphling","LegionCommander",-6,2139,"lose"
"ShadowDemon","Slardar","Kunkka","Bane","Juggernaut",27,2362,"win"
"Invoker","Sven","Huskar","Riki","Venomancer",-27,2362,"lose"
"Lifestealer","Timbersaw","Silencer","Rubick","Doom",-29,2277,"lose"
"Huskar","Luna","Pudge","Enigma","Riki",29,2277,"win"
"Mirana","DrowRanger","Clinkz","Morphling","Lion",0,99,"lose"
"Riki","LegionCommander","SkywrathMage","Pudge","PhantomAssassin",5,3450,"lose"
"BountyHunter","Sniper","Juggernaut","Nature'sProphet","DrowRanger",-5,3450,"win"
"NyxAssassin","Enchantress","ElderTitan","Riki","Terrorblade",4,3885,"lose"
"Sven","Viper","Sniper","Bloodseeker","FacelessVoid",-4,3885,"win"
"Meepo","Morphling","SkywrathMage","ArcWarden","VengefulSpirit",-27,2546,"lose"
"Luna","Axe","Pudge","Nature'sProphet","Mirana",27,2546,"win"
"PhantomAssassin","BountyHunter","Jakiro","LegionCommander","Slark",-26,1590,"lose"
"Beastmaster","Viper","Tinker","Pudge","DragonKnight",26,1590,"win"
"Weaver","EmberSpirit","Huskar","Invoker","WitchDoctor",-15,2432,"lose"
"Slark","Timbersaw","Silencer","Nature'sProphet","CrystalMaiden",15,2432,"win"
"Sniper","WraithKing","Lion","Slardar","Pudge",-19,3005,"lose"
"Riki","Axe","Huskar","Invoker","KeeperoftheLight",19,3005,"win"
"Puck","SkywrathMage","Morphling","Riki","Juggernaut",-17,2618,"lose"
"Invoker","Mirana","Timbersaw","Slark","BountyHunter",17,2618,"win"
"Earthshaker","StormSpirit","DrowRanger","Undying","Lina",-24,2451,"lose"
"ShadowShaman","Pudge","ChaosKnight","Sniper","Lifestealer",24,2451,"win"
"Anti-Mage","Terrorblade","ElderTitan","Silencer","Lifestealer",-24,2198,"lose"
"Juggernaut","Luna","Phoenix","NightStalker","Mirana",-21,2211,"lose"
"Slark","Omniknight","Axe","FacelessVoid","Zeus",21,2211,"win"
"CrystalMaiden","Juggernaut","Kunkka","Nature'sProphet","DeathProphet",-22,2373,"lose"
"SandKing","Magnus","Tinker","LegionCommander","FacelessVoid",22,2373,"win"
"DragonKnight","Sniper","Timbersaw","Slark","Pudge",56,1394,"win"
"Bane","Tidehunter","Dazzle","Sven","Viper",-56,1394,"lose"
"Alchemist","Huskar","BountyHunter","LegionCommander","Riki",5,3077,"lose"
"Zeus","PhantomAssassin","StormSpirit","FacelessVoid","Razor",-5,3077,"win"
"WitchDoctor","PhantomLancer","Anti-Mage","TreantProtector","Spectre",6,3406,"win"
"VengefulSpirit","Enigma","Kunkka","ShadowFiend","Juggernaut",-6,3406,"lose"
"DrowRanger","QueenofPain","Pudge","PhantomLancer","FacelessVoid",32,2382,"win"
"Omniknight","Luna","VengefulSpirit","Earthshaker","Juggernaut",-32,2382,"lose"
"Anti-Mage","Axe","Invoker","Dazzle","SpiritBreaker",-3,2725,"win"
"Enchantress","Meepo","Pudge","Slark","Venomancer",3,2725,"lose"
"Riki","Pudge","LegionCommander","Ursa","Sniper",9,661,"win"
"SpiritBreaker","Broodmother","DrowRanger","WinterWyvern","Sven",-9,661,"lose"
"LegionCommander","ShadowFiend","PhantomAssassin","Necrophos","FacelessVoid",22,3186,"win"
"Weaver","Viper","DeathProphet","Lina","NightStalker",-22,3186,"lose"
"Alchemist","VengefulSpirit","Warlock","Juggernaut","StormSpirit",-26,2439,"lose"
"Ursa","WraithKing","Riki","DrowRanger","Silencer",26,2439,"win"
"DrowRanger","Tinker","Bane","Windranger","Huskar",14,3467,"win"
"Windranger","Anti-Mage","Slark","SandKing","Morphling",6,3159,"win"
"Leshrac","BountyHunter","Huskar","DrowRanger","Invoker",-6,3159,"lose"
"Rubick","PhantomAssassin","TrollWarlord","Invoker","Axe",12,2853,"win"
"Tidehunter","Viper","Alchemist","Mirana","WinterWyvern",-12,2853,"lose"
"Timbersaw","Anti-Mage","Medusa","Sniper","CrystalMaiden",-10,2989,"lose"
"Riki","Slark","Kunkka","Ursa","Alchemist",10,2989,"win"
"Sniper","Terrorblade","Luna","SpiritBreaker","Huskar",22,1247,"win"
"Anti-Mage","Weaver","Zeus","Bloodseeker","Omniknight",-22,1247,"lose"
"Pudge","Lich","Ursa","Tinker","LegionCommander",32,2974,"win"
"Ursa","Sniper","ChaosKnight","AncientApparition","Pudge",-11,2279,"lose"
"Dazzle","Windranger","Axe","Alchemist","Juggernaut",11,2279,"win"
"SpiritBreaker","SkywrathMage","ArcWarden","Timbersaw","Lina",36,2386,"win"
"Pudge","Zeus","ShadowShaman","Sniper","LegionCommander",-36,2386,"lose"
"Bloodseeker","Lion","Huskar","Pudge","Silencer",-3,3229,"lose"
"Axe","Anti-Mage","Windranger","Earthshaker","Medusa",3,3229,"win"
"Juggernaut","Earthshaker","LegionCommander","Magnus","undefined",0,212,"lose"
"TrollWarlord","Enigma","Riki","Sniper","Mirana",9,2729,"win"
"VengefulSpirit","EmberSpirit","ElderTitan","Bristleback","Slark",-9,2729,"lose"
"Lina","Timbersaw","Invoker","ShadowShaman","DrowRanger",18,1448,"win"
"Puck","undefined","PhantomAssassin","Sven","TreantProtector",-18,1448,"lose"
"Sven","Earthshaker","CrystalMaiden","Huskar","Medusa",31,1645,"win"
"Meepo","TemplarAssassin","Enchantress","WraithKing","ShadowFiend",-31,1645,"lose"
"PhantomAssassin","Tinker","Juggernaut","Omniknight","Bristleback",-9,2776,"win"
"CrystalMaiden","Mirana","Tidehunter","Pudge","Kunkka",9,2776,"lose"
"Anti-Mage","Lifestealer","Sniper","WitchDoctor","LegionCommander",10,2947,"win"
"Bristleback","Luna","BountyHunter","Omniknight","ShadowFiend",-10,2769,"lose"
"Riki","EmberSpirit","Warlock","Sven","LegionCommander",10,2769,"win"
"WraithKing","Tusk","Rubick","PhantomAssassin","Windranger",-28,2388,"lose"
"LegionCommander","Riki","EarthSpirit","OgreMagi","Bloodseeker",28,2388,"win"
"PhantomAssassin","VengefulSpirit","FacelessVoid","Kunkka","Weaver",-26,2241,"lose"
"Lion","Lina","Sniper","Clinkz","Bristleback",26,2241,"win"
"PhantomAssassin","Bristleback","SkywrathMage","StormSpirit","OgreMagi",-6,4303,"win"
"Bloodseeker","AncientApparition","LegionCommander","Invoker","Earthshaker",6,4303,"lose"
"Axe","Necrophos","Pudge","NyxAssassin","LegionCommander",17,2615,"win"
"VengefulSpirit","PhantomLancer","QueenofPain","PhantomAssassin","Bristleback",-17,2615,"lose"
"TrollWarlord","Anti-Mage","Lion","Invoker","ElderTitan",-6,2449,"lose"
"WraithKing","PhantomAssassin","Earthshaker","Magnus","LegionCommander",6,2449,"win"
"Omniknight","Tidehunter","Slark","Kunkka","LegionCommander",22,2775,"win"
"Nature'sProphet","Bloodseeker","Pudge","Invoker","FacelessVoid",-22,2775,"lose"
"Morphling","Weaver","Slark","Pudge","Mirana",13,2977,"win"
"QueenofPain","Tinker","Bloodseeker","SpiritBreaker","Sniper",-13,2977,"lose"
"Slark","Doom","TrollWarlord","SkywrathMage","Warlock",-16,2783,"lose"
"Invoker","FacelessVoid","Morphling","ShadowDemon","Pugna",16,2783,"win"
"Clinkz","Earthshaker","Lion","PhantomAssassin","EmberSpirit",13,2071,"win"
"Necrophos","Broodmother","LegionCommander","Juggernaut","NightStalker",-13,2071,"lose"
"Broodmother","Terrorblade","Dazzle","Riki","PhantomAssassin",15,1816,"win"
"Slardar","DrowRanger","Invoker","OutworldDevourer","Undying",-15,1816,"lose"
"OutworldDevourer","Lion","OgreMagi","BountyHunter","TemplarAssassin",20,2891,"win"
"Ursa","Riki","FacelessVoid","PhantomLancer","Luna",-20,2891,"lose"
"WraithKing","DrowRanger","Bloodseeker","CrystalMaiden","Alchemist",20,1963,"win"
"FacelessVoid","Sniper","DragonKnight","Viper","Pudge",-20,1963,"lose"
"StormSpirit","Tiny","Huskar","Slark","DrowRanger",-20,3402,"lose"
"Techies","TemplarAssassin","DragonKnight","Silencer","Alchemist",20,3402,"win"
"Necrophos","Timbersaw","WinterWyvern","Invoker","Spectre",7,1878,"win"
"Omniknight","KeeperoftheLight","Kunkka","PhantomAssassin","Puck",-7,1878,"lose"
"Dazzle","Earthshaker","DrowRanger","Morphling","FacelessVoid",23,1277,"win"
"PhantomLancer","BountyHunter","Invoker","Axe","NagaSiren",-23,1277,"lose"
"Juggernaut","Dazzle","Timbersaw","Slardar","Morphling",-32,2050,"lose"
"Invoker","Axe","Mirana","DrowRanger","SkywrathMage",32,2050,"win"
"Slardar","Warlock","Windranger","AncientApparition","Alchemist",-24,2433,"lose"
"Warlock","SpiritBreaker","Necrophos","Sniper","PhantomLancer",-5,2695,"lose"
"Lycan","Venomancer","Broodmother","Pudge","BountyHunter",5,2695,"win"
"Lion","Earthshaker","Pudge","Huskar","Juggernaut",-17,3281,"lose"
"PhantomLancer","Jakiro","Bloodseeker","PhantomAssassin","TrollWarlord",17,3281,"win"
"Invoker","Anti-Mage","ShadowShaman","PhantomAssassin","Pudge",44,2072,"win"
"WraithKing","Ursa","Luna","Sven","Riki",-44,2072,"lose"
"Brewmaster","Morphling","Invoker","Riki","Juggernaut",-10,3495,"lose"
"PhantomAssassin","Undying","AncientApparition","FacelessVoid","Invoker",-37,2263,"lose"
"Io","LegionCommander","Windranger","FacelessVoid","Tinker",-26,2707,"lose"
"Chen","Juggernaut","Mirana","OgreMagi","Slark",26,2707,"win"
"Lina","DrowRanger","Ursa","Huskar","Rubick",-10,3095,"lose"
"Oracle","LegionCommander","Sniper","Riki","PhantomAssassin",10,3095,"win"
"Puck","BountyHunter","Windranger","Invoker","Necrophos",-6,2510,"lose"
"Mirana","Pudge","Huskar","Earthshaker","Tiny",-7,3052,"lose"
"PhantomLancer","Luna","Tidehunter","Timbersaw","Pugna",-8,4020,"lose"
"Pudge","Invoker","Mirana","Earthshaker","Axe",8,4020,"win"
"Sven","Lich","WraithKing","Slark","Riki",-2,3238,"win"
"Tinker","Luna","Windranger","FacelessVoid","LegionCommander",2,3238,"lose"
"BountyHunter","Invoker","PhantomAssassin","WinterWyvern","LoneDruid",9,2352,"win"
"Viper","Bane","WraithKing","Lich","ChaosKnight",-9,2352,"lose"
"PhantomAssassin","Tidehunter","Invoker","TrollWarlord","CentaurWarrunner",-35,2770,"lose"
"Puck","KeeperoftheLight","VengefulSpirit","Bristleback","Slark",25,2174,"win"
"WinterWyvern","TrollWarlord","FacelessVoid","Riki","Invoker",-25,2174,"lose"
"Necrophos","Slardar","Earthshaker","Morphling","LegionCommander",34,2912,"win"
"ShadowShaman","Luna","Huskar","Tiny","Sven",-34,2912,"lose"
"LegionCommander","FacelessVoid","DrowRanger","Pudge","Mirana",14,2012,"win"
"ShadowDemon","Kunkka","Terrorblade","PhantomAssassin","Techies",-14,2012,"lose"
"Timbersaw","Luna","VengefulSpirit","Slardar","Alchemist",15,1526,"win"
"Mirana","PhantomAssassin","undefined","BountyHunter","ArcWarden",-15,1526,"lose"
"Pudge","Ursa","VengefulSpirit","DrowRanger","NightStalker",-22,2808,"lose"
"WitchDoctor","NyxAssassin","Silencer","Invoker","FacelessVoid",22,2808,"win"
"Tinker","Lion","LegionCommander","Slark","QueenofPain",-27,2411,"lose"
"Morphling","Tiny","Doom","Rubick","Anti-Mage",27,2411,"win"
"Pugna","Juggernaut","Nature'sProphet","Clinkz","Pudge",-34,3571,"lose"
"Lich","NightStalker","Sniper","Invoker","LegionCommander",34,3571,"win"
"DrowRanger","Lina","StormSpirit","Pudge","OgreMagi",39,3074,"win"
"Tidehunter","Tinker","Mirana","PhantomAssassin","NyxAssassin",-16,2431,"lose"
"Windranger","Lion","DrowRanger","StormSpirit","Axe",16,2431,"win"
"Huskar","Morphling","ShadowDemon","Slark","Tidehunter",-1,3328,"win"
"Invoker","SandKing","Anti-Mage","Lich","Sven",1,3328,"lose"
"Axe","FacelessVoid","Meepo","Necrophos","Razor",14,2819,"win"
"NagaSiren","Luna","Enigma","PhantomLancer","DarkSeer",-14,2819,"lose"
"SandKing","QueenofPain","Luna","Ursa","CrystalMaiden",5,3623,"lose"
"KeeperoftheLight","Invoker","ShadowFiend","Windranger","Oracle",13,2180,"win"
"Pudge","Luna","Bloodseeker","Lion","WitchDoctor",-13,2180,"lose"
"Tidehunter","Phoenix","Dazzle","Slark","Zeus",19,2421,"win"
"Mirana","Pudge","Anti-Mage","WitchDoctor","Timbersaw",34,2578,"win"
"Axe","Lion","PhantomAssassin","Tiny","Pugna",-34,2578,"lose"
"Pudge","CentaurWarrunner","OgreMagi","PhantomAssassin","Axe",37,1782,"win"
"SkywrathMage","Mirana","Spectre","SpiritBreaker","DrowRanger",-37,1782,"lose"
"FacelessVoid","Sven","VengefulSpirit","PhantomAssassin","Sniper",6,1896,"win"
"BountyHunter","PhantomAssassin","Morphling","Omniknight","Tidehunter",-20,2590,"lose"
"Windranger","Zeus","KeeperoftheLight","Rubick","Anti-Mage",20,2590,"win"
"Mirana","Lycan","Slark","Lion","Bloodseeker",27,1607,"win"
"FacelessVoid","PhantomLancer","Phoenix","AncientApparition","Pudge",-27,1607,"lose"
"NightStalker","Viper","Lich","WinterWyvern","SandKing",22,3060,"win"
"Slark","Alchemist","TemplarAssassin","Tidehunter","CrystalMaiden",21,2305,"win"
"Phoenix","Anti-Mage","SkywrathMage","Batrider","Riki",-21,2305,"lose"
"DarkSeer","Magnus","SkywrathMage","Windranger","PhantomAssassin",-9,2989,"lose"
"Pudge","Kunkka","LegionCommander","Invoker","Sven",9,2989,"win"
"Clinkz","KeeperoftheLight","Huskar","undefined","Pudge",-7,1682,"lose"
"Axe","Nature'sProphet","PhantomAssassin","Spectre","CrystalMaiden",23,2114,"win"
"PhantomLancer","VengefulSpirit","Dazzle","Alchemist","Magnus",-23,2114,"lose"
"LegionCommander","Dazzle","Anti-Mage","Ursa","Enigma",11,2262,"win"
"Juggernaut","Sven","Oracle","Lion","Lifestealer",-11,2262,"lose"
"Anti-Mage","Alchemist","Terrorblade","Earthshaker","Axe",3,2463,"win"
"Undying","Pudge","NyxAssassin","PhantomAssassin","Lion",-3,2463,"lose"
"Leshrac","EmberSpirit","Slardar","Venomancer","Lion",52,1910,"win"
"WraithKing","Windranger","Razor","Sven","ChaosKnight",-52,1910,"lose"
"Lion","Mirana","Juggernaut","Batrider","FacelessVoid",24,2030,"win"
"Medusa","CentaurWarrunner","Omniknight","Riki","Tinker",-24,2030,"lose"
"Windranger","QueenofPain","Tinker","Necrophos","LegionCommander",-24,2390,"lose"
"Juggernaut","Alchemist","Tiny","Pudge","Mirana",24,2390,"win"
"ShadowShaman","Riki","Spectre","Sniper","Enigma",24,2392,"win"
"SandKing","Clinkz","BountyHunter","PhantomAssassin","DrowRanger",-24,2392,"lose"
"Ursa","Bloodseeker","Earthshaker","Axe","Riki",-28,2432,"lose"
"PhantomAssassin","Pudge","Tinker","Morphling","Lifestealer",0,23,"lose"
"Enigma","StormSpirit","Lion","DrowRanger","Spectre",14,2372,"win"
"Rubick","PhantomAssassin","VengefulSpirit","Pudge","DeathProphet",-14,2372,"lose"
"FacelessVoid","NightStalker","Ursa","Riki","Slark",-9,3281,"win"
"Bloodseeker","WraithKing","Doom","TrollWarlord","ShadowFiend",9,3281,"lose"
"Pudge","Bristleback","PhantomAssassin","CrystalMaiden","WraithKing",26,1805,"win"
"Riki","Lifestealer","LegionCommander","Windranger","Lina",-26,1805,"lose"
"Huskar","Riki","Clinkz","TrollWarlord","Anti-Mage",18,2790,"win"
"DrowRanger","Invoker","Sniper","PhantomAssassin","FacelessVoid",-18,2790,"lose"
"Spectre","Mirana","Invoker","Pudge","BountyHunter",29,2620,"win"
"Slark","SkywrathMage","Beastmaster","Oracle","PhantomAssassin",-29,2620,"lose"
"Juggernaut","CrystalMaiden","Earthshaker","Pudge","DrowRanger",17,3503,"win"
"EmberSpirit","FacelessVoid","Nature'sProphet","Magnus","WinterWyvern",-17,3503,"lose"
"Disruptor","Kunkka","PhantomAssassin","OgreMagi","ShadowFiend",18,3042,"win"
"AncientApparition","QueenofPain","Slark","Anti-Mage","NightStalker",-18,3042,"lose"
"Ursa","Lifestealer","StormSpirit","Alchemist","WraithKing",17,2630,"win"
"Anti-Mage","EmberSpirit","Pudge","PhantomAssassin","Rubick",-17,2630,"lose"
"Tinker","LegionCommander","Puck","Magnus","Invoker",-31,2142,"lose"
"Timbersaw","Earthshaker","Mirana","Huskar","Omniknight",31,2142,"win"
"DrowRanger","FacelessVoid","Venomancer","Invoker","LegionCommander",13,1699,"win"
"Spectre","Pudge","Morphling","TemplarAssassin","Windranger",-13,1699,"lose"
"Morphling","Windranger","Leshrac","Slark","Tinker",-17,2985,"lose"
"KeeperoftheLight","Razor","NyxAssassin","Timbersaw","Anti-Mage",17,2985,"win"
"Juggernaut","Bloodseeker","Warlock","Earthshaker","ShadowShaman",39,1592,"win"
"PhantomAssassin","Sven","SandKing","Omniknight","Necrophos",-39,1592,"lose"
"Necrophos","TrollWarlord","Kunkka","Axe","Slark",19,1862,"win"
"Terrorblade","Lion","DeathProphet","Mirana","Slark",-17,3325,"lose"
"Sniper","PhantomAssassin","Rubick","Enchantress","Riki",30,2863,"win"
"Juggernaut","Invoker","CrystalMaiden","Enigma","SpiritBreaker",-30,2863,"lose"
